"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Week","Group color"
"27/06/2015","9:27:51 AM","","","blue site 1","8x4","unknown sp2",1,"blue"
"27/06/2015","9:27:51 AM","","","blue site 1","8x4","unknown sp3",1,"blue"
"27/06/2015","9:33:39 AM","","","blue site 1","8x8","Lomandra confertifolia",1,"blue"
"27/06/2015","9:33:39 AM","","","blue site 1","8x8","Lomandra obliqua",1,"blue"
"27/06/2015","9:33:39 AM","","","blue site 1","8x8","unknown sp4",1,"blue"
"27/06/2015","9:33:39 AM","","","blue site 1","8x8","unknown sp5",1,"blue"
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","Banksia serrata",1,"blue"
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","Cyclophyllum coprosmoides",1,"blue"
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","Hibbertia linearis",1,"blue"
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","Monotoca sp. Fraser Island",1,"blue"
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","unknown sp6",1,"blue"
"27/06/2015","9:44:14 AM","","","blue site 1","16x8","unknown sp7",1,"blue"
"27/06/2015","9:47:14 AM","","","blue site 1","16x16","Passiflora sp.",1,"blue"
"27/06/2015","9:57:03 AM","","","scv","1x1","Pteridium esculentum",1,"blue"
"27/06/2015","9:57:03 AM","","","scv","1x1","unknown sp1",1,"blue"
"27/06/2015","9:59:10 AM","","","scv","2x1","Alphitonia excelsa",1,"blue"
"28/06/2015","10:00:15 AM","","","GreenScrigglyGum","4x2","Xylomelum salicinum",1,"green"
"28/06/2015","10:08:39 AM","","","GreenScrigglyGum","4x4","unknown sp2",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Angophora leiocarpa",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Commelina diffusa",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Hibbertia linearis",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Lomandra confertifolia",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","unknown sp3",1,"green"
"28/06/2015","10:21:00 AM","","","GreenScrigglyGum","8x8","Dianella caerulea",1,"green"
"28/06/2015","10:21:00 AM","","","GreenScrigglyGum","8x8","Monotoca sp. Fraser Island",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","Casuarina glauca",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","Ricinocarpos pinifolius",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","unknown sp4",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","unknown sp5",1,"green"
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","Banksia integrifolia subsp. integrifolia",1,"green"
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","Schizaea bifida",1,"green"
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","unknown sp6",1,"green"
"28/06/2015","9:53:25 AM","","","GreenScrigglyGum","1x1","Lomandra obliqua",1,"green"
"28/06/2015","9:53:25 AM","","","GreenScrigglyGum","1x1","Pteridium esculentum",1,"green"
"28/06/2015","9:57:34 AM","","","GreenScrigglyGum","2x2","unknown sp1",1,"green"
"29/06/2015","10:24:18 AM","","","Red Veg","1x1","Lomandra multiflora",1,"red"
"29/06/2015","10:24:18 AM","","","Red Veg","1x1","Lomandra obliqua",1,"red"
"29/06/2015","10:24:18 AM","","","Red Veg","1x1","Monotoca sp. Fraser Island",1,"red"
"29/06/2015","10:32:44 AM","","","Red Veg","2x2","Eucalyptus pilularis",1,"red"
"29/06/2015","10:32:44 AM","","","Red Veg","2x2","unknown sp1",1,"red"
"29/06/2015","10:32:44 AM","","","Red Veg","2x2","unknown sp2",1,"red"
"29/06/2015","10:38:01 AM","","","Red Veg","4x2","Banksia serrata",1,"red"
"29/06/2015","10:38:01 AM","","","Red Veg","4x2","Leucopogan ericoides",1,"red"
"29/06/2015","10:49:51 AM","","","Red Veg","8x4","Acacia leiocalyx",1,"red"
"29/06/2015","10:49:51 AM","","","Red Veg","8x4","Platysace lanceolata",1,"red"
"29/06/2015","10:49:51 AM","","","Red Veg","8x4","Xanthorrhoea sp.",1,"red"
"29/06/2015","10:55:35 AM","","","Red Veg","8x8","Endiandra sieberi",1,"red"
"29/06/2015","10:55:35 AM","","","Red Veg","8x8","Hibbertia linearis",1,"red"
"29/06/2015","10:55:35 AM","","","Red Veg","8x8","Pteridium esculentum",1,"red"
"29/06/2015","10:55:35 AM","","","Red Veg","8x8","unknown sp3",1,"red"
"29/06/2015","11:11:37 AM","","","Red Veg","16x8","Austromyrtus dulcis",1,"red"
"29/06/2015","11:11:37 AM","","","Red Veg","16x8","Casuarina glauca",1,"red"
"29/06/2015","11:11:37 AM","","","Red Veg","16x8","Macrozamia douglasii",1,"red"
"29/06/2015","11:20:26 AM","","","Red Veg","16x16","Acacia flavescens",1,"red"
"29/06/2015","11:20:26 AM","","","Red Veg","16x16","Boronia rosmarinifolia",1,"red"
"29/06/2015","11:20:26 AM","","","Red Veg","16x16","unknown sp4",1,"red"
